Company Name,Industries,Email Convention
First Analysis Securities Corporation,"Equity Research, First Analysis Securities Corporation, Investment Banking, Private Equity, Venture Capital",
First Beverage Group,"Asset Management, First Beverage Group, Investment Banking",
First London Securities,"Asset Management, First London Securities, Investment Banking",
Flex Financial Group,"Consulting, Flex Financial Group, Investment Banking",
Flint Creek Partners,"Flint Creek Partners, Investment Banking, Venture Capital",
FMV Capital Markets,"Equity Research, FMV Capital Markets, Investment Banking",
Focus Capital Advisors,"Focus Capital Advisors, Investment Banking",
Fogel Genz and Associates,"Fogel Genz and Associates, Investment Banking",
Food Partners,"Food Partners, Investment Banking",
Forbes Mergers and Acquisitions,"Forbes Mergers and Acquisitions, Investment Banking",
Foros,"Foros, Investment Banking",
Fort Dearborn Advisors,"Fort Dearborn Advisors, Investment Banking",
Forticap,"Forticap, Investment Banking, Private Equity",
Fortune Group,"Fortune Group, Investment Banking",
Founders Investment Banking,"Founders Investment Banking, Investment Banking",
FourBridges Capital Advisors,"FourBridges Capital Advisors, Investment Banking",
Fredericks and Associates,"Fredericks and Associates, Investment Banking",
Fredericks Michael and Company,"Fredericks Michael and Company, Investment Banking",
Freeman and Company,"Freeman and Company, Investment Banking",
Frontier Investment Banking,"Frontier Investment Banking, Investment Banking",
Frost Securities,"Frost Securities, Investment Banking",
FS Capital Markets Group,"FS Capital Markets Group, Investment Banking",
Fuller Trident Group,"Fuller Trident Group, Investment Banking",
Eastman Industries,"Consulting, Eastman Industries, Investment Banking",
Echelon Partners,"Asset Management, Consulting, Echelon Partners, Investment Banking",
Edelweiss,"Asset Management, Edelweiss, Investment Banking",
Edgemont Capital Partners,"Edgemont Capital Partners, Investment Banking",
EdgePoint Capital Advisors,"EdgePoint Capital Advisors, Investment Banking",jsmith@edgepoint.com
Edling & Wyatt,"Edling & Wyatt, Investment Banking",
Edmonds Group,"Edmonds Group, Investment Banking",
EFG Hermes,"EFG Hermes, Equity Research, Investment Banking, Private Equity",
EGL Holdings,"EGL Holdings, Investment Banking, Private Equity",
Ehrenberg Chesler,"Ehrenberg Chesler, Investment Banking",lastname@ehrenbergchesler.com
Eisen Fox,"Eisen Fox, Investment Banking",JSmith@EisenFox.com
Elite Mergers and Acquisitions,"Elite Mergers and Acquisitions, Investment Banking",
Elixir Advisors,"Elixir Advisors, Investment Banking",
Emory and Co,"Emory and Co, Investment Banking",jsmith@EmoryCo.com
Emprise Partners,"Emprise Partners, Investment Banking, Private Equity",
ENAM,"Asset Management, ENAM, Investment Banking",
EnCapital,"EnCapital, Investment Banking",
Encore Associates,"Encore Associates, Investment Banking",jsmith@encoreassociates.com
England and Company,"England and Company, Investment Banking, Private Equity",
Entrea Capital,"Entrea Capital, Investment Banking",
Equation Partners,"Equation Partners, Investment Banking",
Equatorial Investment Bank Limited,"Equatorial Investment Bank Limited, Equity Research, Investment Banking",
Equity Development Systems,"Consulting, Equity Development Systems, Investment Banking",
Eurasia Capital,"Eurasia Capital, Investment Banking",
Eureka Capital Partners,"Asset Management, Eureka Capital Partners, Investment Banking",
Evarts Capital,"Consulting, Evarts Capital, Investment Banking",
Evergreen Advisors,"Evergreen Advisors, Investment Banking",
Everingham and Kerr,"Everingham and Kerr, Investment Banking",
Espirito Santo Investment Bank,"Asset Management, Equity Research, Espirito Santo Investment Bank, Investment Banking, Sales and Trading",
Exvere Securities,"Exvere Securities, Investment Banking",
DW Hammer and Company,"DW Hammer and Company, Investment Banking",
DAI Capital Advisors,"DAI Capital Advisors, Investment Banking",jsmith@daicapital.com
DAK Group,"DAK Group, Investment Banking",jsmith@dakgroup.com
David N Deutsch and Company,"David N Deutsch and Company, Investment Banking",
Davis Capital,"Davis Capital, Investment Banking",
DBS Group,"DBS Group, Investment Banking, Private Equity",
DCA Partners,"DCA Partners, Investment Banking, Private Equity",
de Visscher and Co,"de Visscher and Co, Investment Banking",jsmith@devisscher.com
DeBellas and Co,"DeBellas and Co, Investment Banking",jsmith@debellas.com
Decosimo Corporate Finance,"Decosimo Corporate Finance, Investment Banking",johnsmith@jdcf.com
Demeter Advisory Group,"Demeter Advisory Group, Investment Banking",
Denargo Capital,"Denargo Capital, Investment Banking",
Derderian Capital,"Derderian Capital, Investment Banking",
Devante Capital,"Devante Capital, Investment Banking",
City Securities Corporation,"City Securities Corporation, Investment Banking, Sales and Trading, Other",JDoe@citysecurities.com
China International Capital Corporation,"Asset Management, China International Capital Corporation, Corporate Finance, Equity Research, Investment Banking, Private Equity, Proprietary Trading, Sales and Trading, Other",smithj@cicc.com.cn
Diamond Capital Advisors,"Diamond Capital Advisors, Investment Banking",jsmith@diamondcapitaladvisors.com
Digi-Capital,"Digi-Capital, Investment Banking",
Dillon Group,"Dillon Group, Investment Banking",
Dirks Van Essen and Murray,"Consulting, Dirks Van Essen and Murray, Investment Banking",firstname@dirkswanessen.com
Donnelly Penman and Partners,"Donnelly Penman and Partners, Investment Banking, Private Equity",jsmith@donnellypenman.com
Douglas Group,"Douglas Group, Investment Banking",jsmith@douglasgroup.net
Dragonfly Capital,"Dragonfly Capital, Investment Banking",
Dunn Johnston and Company,"Dunn Johnston and Company, Investment Banking",
Dunning Capital,"Dunning Capital, Investment Banking",
DVS Group,"DVS Group, Investment Banking",john.smith@thedvsgroup.com
DWQ Associates,"DWQ Associates, Investment Banking",
Dyer and Blair,"Dyer and Blair, Investment Banking, Sales and Trading",
Dyrehaven and Associates,"Dyrehaven and Associates, Investment Banking",
CE Unterberg Towbin,"CE Unterberg Towbin, Investment Banking",
CV Lemmon,"CV Lemmon, Investment Banking",
C. W. Downer & Co.,"C. W. Downer & Co., Investment Banking",jsmith@cwdowner.com
California Equity Group,"California Equity Group, Investment Banking",john@californiaequitygroup.com
Cambria Capital,"Asset Management, Cambria Capital, Investment Banking",
Canaccord Financial,"Asset Management, Canaccord Financial, Equity Research, Investment Banking, Sales and Trading",
Candlewood Partners,"Candlewood Partners, Investment Banking",
Canec International,"Canec International, Investment Banking",
Capinnova Investment Bank,"Asset Management, Capinnova Investment Bank, Investment Banking, Private Equity",
Capital Advice,"Capital Advice, Investment Banking",
Capital Advisors,"Capital Advisors, Investment Banking",
Capital Corporation,"Capital Corporation, Investment Banking, Private Equity",
Capital Management House BSC,"Asset Management, Capital Management House BSC, Investment Banking, Private Equity",
Capital Markets Group,"Capital Markets Group, Investment Banking",
Capital Partners,"Capital Partners, Investment Banking",
Capital Strategies Group,"Capital Strategies Group, Investment Banking",
Capital West Partners,"Capital West Partners, Investment Banking",
CapitalValue Advisors,"CapitalValue Advisors, Investment Banking",
Capstone Advisory Partners,"Capstone Advisory Partners, Investment Banking, Private Equity",
Capstone Financial Group,"Capstone Financial Group, Investment Banking, Private Equity",
Capstone Partners,"capstone partners, Investment Banking",
Capvesco,"Capvesco, Investment Banking",
Carillon Capital,"Carillon Capital, Investment Banking",
Caris and Company,"Caris and Company, Equity Research, Investment Banking, Private Equity, Venture Capital",
Quarton Partners,"Investment Banking, Quarton Partners",
Carl Marks and Co,"Carl Marks and Co, Investment Banking, Private Equity",
Carlton Group,"Asset Management, Carlton Group, Investment Banking",
Carnegie Investment Bank AB,"Asset Management, Carnegie Investment Bank AB, Investment Banking",
CarpenterHawke,"CarpenterHawke, Investment Banking",
Carter Morse and Mathias,"Carter Morse and Mathias, Investment Banking",
Carver Cross,"Carver Cross, Investment Banking",
Cassis Capital,"Cassis Capital, Investment Banking",
Castle Crow and Company,"Asset Management, Castle Crow and Company, Investment Banking",lastname@castlecrow.com
CastleOak Securities,"CastleOak Securities, Investment Banking",
Catalyst Group,"Catalyst Group, Investment Banking",
Cato Capital,"Cato Capital, Hedge Funds, Investment Banking",
Cavendish Corporate Finance,"Cavendish Corporate Finance, Investment Banking",jsmith@cavendish.com
CB Capital Partners,"CB Capital Partners, Investment Banking",
CC Capital Advisors,"CC Capital Advisors, Investment Banking",
CCC Investment Banking,"CCC Investment Banking, Investment Banking",
CDI Group,"CDI Group, Investment Banking",
Communications Equity Associates,"Communications Equity Associates, Investment Banking, Private Equity",jsmith@ceaworldwide.com
CenterPoint M&A Advisors,"CenterPoint M&A Advisors, Investment Banking",
Cerium Capital,"Cerium Capital, Investment Banking",
CFK Finance,"CFK Finance, Investment Banking",
CGK M&A Advisors,"CGK M&A Advisors, Investment Banking",
Chaffe and Associates,"Chaffe and Associates, Investment Banking",JSmith@Chaffe-Associates.com
Channel Islands Equities,"Channel Islands Equities, Investment Banking",
Charlotte Capital,"Charlotte Capital, Consulting, Investment Banking",
Chartwell Capital,"Chartwell Capital, Investment Banking",
Chartwell Capital Solutions,"Chartwell Capital Solutions, Investment Banking",
Chartworth,"Chartworth, Consulting, Investment Banking",
Chertoff Group,"Chertoff Group, Consulting, Investment Banking",
Chicago Corporation,"Chicago Corporation, Investment Banking",
CHILDS Advisory Partners,"CHILDS Advisory Partners, Investment Banking",jsmith@childsadvisorypartners.com
Chimney Rock Capital Partners,"Chimney Rock Capital Partners, Investment Banking",
Chiron,"Chiron, Investment Banking, Private Equity",jsmith@chironfinance.com
Christman Group,"Christman Group, Investment Banking",
Bourne Partners,"Bourne Partners, Investment Banking",jsmith@bourne-partners.com
Cimarron Equity Partners,"Cimarron Equity Partners, Investment Banking, Private Equity",
CIMB Group,"Asset Management, CIMB Group, Investment Banking",
Citadel Advisory Group,"Citadel Advisory Group, Investment Banking",
City Capital Advisors,"City Capital Advisors, Investment Banking",
City Capital Corporation,"Asset Management, City Capital Corporation, Equity Research, Investment Banking, Sales and Trading",
CKS Securities,"CKS Securities, Investment Banking",
Clarity Corporate Growth,"Clarity Corporate Growth, Investment Banking, Private Equity",
Clarke Advisors,"Clarke Advisors, Investment Banking, Private Equity",
Clean Energy Capital,"Clean Energy Capital, Investment Banking",
ClearCreek Partners,"ClearCreek Partners, Investment Banking",
ClearRidge Capital,"ClearRidge Capital, Investment Banking",
Clearsight Advisors,"Clearsight Advisors, Investment Banking",
Clearwater Corporate Finance,"Clearwater Corporate Finance, Investment Banking",john.smith@clearwatercf.com
Clearly Gull,"Asset Management, Clearly Gull, Investment Banking",
Closa Mergers and Acquisitions,"Closa Mergers and Acquisitions, Investment Banking",
Cobble Hill Group,"Cobble Hill Group, Investment Banking, Private Equity",
Collins Group,"Collins Group, Investment Banking",
Collins Stewart Hawkpoint,"Asset Management, Collins Stewart Hawkpoint, Investment Banking, Sales and Trading",
Colonnade,"Colonnade, Investment Banking",jsmith@coladv.com
Commerce Street Capital,"Commerce Street Capital, Investment Banking",jsmith@cstreetcap.com
Compass Advisors,"Compass Advisors, Investment Banking",john@compass-advisors.com
Concord Partners,"Concord Partners, Investment Banking, Private Equity",jsmith@concord-partners.com
Concorde Corporate Finance,"Asset Management, Concorde Corporate Finance, Investment Banking, Sales and Trading",firstnameinitial.lastname@con.hu
Confluence Advisors,"Confluence Advisors, Investment Banking",firstname@confluenceadvisors.com
Context Capital,"Context Capital, Investment Banking",
Conway Del Genio Gries,"Conway Del Genio Gries, Investment Banking",jsmith@cdggroup.com
Core Capital Group,"Core Capital Group, Investment Banking",jsmith@corecapital.net
CorpFinance,"CorpFinance, Investment Banking",jsmith@corpfinance.net
Corporate Advisors,"corporate advisors, Investment Banking",
Corporate Development Associates,"Corporate Development Associates, Investment Banking",
Corporate Financial Advisors,"Corporate Financial Advisors, Investment Banking",jsmith@cfa-llc.com
Corporate Fuel Partners,"Corporate Fuel Partners, Investment Banking, Private Equity, Sales and Trading",
Corporate Solutions Group,"Corporate Solutions Group, Investment Banking",jsmith@csgpartners.com
Coutant Capital Associates,"Coutant Capital Associates, Investment Banking",
Creative Health Capital,"Asset Management, Creative Health Capital, Investment Banking",jsmith@chcapital.com
Cresta Capital Strategies,"Cresta Capital Strategies, Investment Banking",
Crosbie and Company,"Crosbie and Company, Investment Banking",jsmith@crosbieco.com
Cross Border Enterprises,"Cross Border Enterprises, Investment Banking, Private Equity",jsmith@crossborderent.com
Crowe Capital,"Crowe Capital, Investment Banking",
Crown Capital Corporation,"Asset Management, Crown Capital Corporation, Investment Banking",
Crucible Capital Group,"Crucible Capital Group, Investment Banking",
Cruikshank Advisory Group,"Consulting, Cruikshank Advisory Group, Investment Banking",
Crutchfield Capital Corporation,"Crutchfield Capital Corporation, Investment Banking",
Culver Capital Group,"Culver Capital Group, Investment Banking",
Curtis Financial Group,"Curtis Financial Group, Investment Banking",
CVI Capital Holdings,"Consulting, CVI Capital Holdings, Investment Banking",
BVFR and Associates,"BVFR and Associates, Investment Banking",
Baldwin M&A Partners,"Baldwin M&A Partners, Investment Banking",
Bankers Advocate,"Bankers Advocate, Investment Banking",
Barnard Montague Capital Advisors,"Barnard Montague Capital Advisors, Investment Banking",jsmith@barnardmontague.com
Baron Partners,"Baron Partners, Investment Banking",
Barrington Research,"Asset Management, Barrington Research, Equity Research, Investment Banking, Sales and Trading",
Battelle Capital Advisors,"Battelle Capital Advisors, Consulting, Investment Banking",
Bay Capital Partners,"Bay Capital Partners, Investment Banking",
Baytree Capital,"Asset Management, Baytree Capital, Investment Banking",
Bayview Capital Group,"Bayview Capital Group, Investment Banking",jsmith@bayviewcap.com
Business Capital Corporation,"Business Capital Corporation, Investment Banking",
BCC Capital Advisors,"BCC Capital Advisors, Investment Banking",
BCP Securities,"BCP Securities, Investment Banking",
BDO Capital Advisors,"BDO Capital Advisors, Investment Banking",
Beal Advisors,"Beal Advisors, Investment Banking",
Beamonte Investments,"Beamonte Investments, Investment Banking",
Bedminster Financial Group,"Bedminster Financial Group, Investment Banking",
Benchmark Group,"Benchmark Group, Investment Banking",
Benning Associates,"Benning Associates, Investment Banking",
Bentley Associates,"Bentley Associates, Investment Banking",
Beopublikum,"Beopublikum, Investment Banking, Sales and Trading",
Berkery Noyes,"Berkery Noyes, Investment Banking",
Berman Capital,"Berman Capital, Investment Banking",
BG Strategic Advisors,"BG Strategic Advisors, Investment Banking",john#bgsa.com
Bigelow Company,"Bigelow Company, Investment Banking",jsmith@bigelowco.com
Billow Butler and Company,"Billow Butler and Company, Investment Banking",jdsmith@billowbutler.com
BKD,"Accounting, Asset Management, BKD, Investment Banking",jsmith@bkd.com
Black Swan Capital Group,"Black Swan Capital Group, Investment Banking",
Blackbridge Partners,"Blackbridge Partners, Investment Banking",
Blaige and Company,"Blaige and Company, Investment Banking",
Blaylock Robert Van,"Asset Management, Blaylock Robert Van, Equity Research, Investment Banking, Sales and Trading",
Blue Beacon Capital,"Blue Beacon Capital, Investment Banking",
Blue River Financial Group,"Blue River Financial Group, Investment Banking",
Bluestone Capital Partners,"Bluestone Capital Partners, Investment Banking, Private Equity",
Bluestone Investment Banking Group,"Bluestone Investment Banking Group, Investment Banking",
BlueWater Partners,"BlueWater Partners, Investment Banking",
Boltendahl International Partners,"Boltendahl International Partners, Consulting, Investment Banking, Venture Capital",
Boston Meridian,"Boston Meridian, Investment Banking",
Breckenridge Group,"Breckenridge Group, Investment Banking",jsmith@breckenridgegroup.com
Brentwood Capital Advisors,"Brentwood Capital Advisors, Investment Banking",
Bridge Global Capital Group,"Bridge Global Capital Group, Investment Banking",jsmith@bgcgi
Briggs Capital,"Briggs Capital, Investment Banking",
Bristol York,"Bristol York, Consulting, Equity Research, Investment Banking",
Brown and Associates Capital Advisors,"Brown and Associates Capital Advisors, Investment Banking",jsmith@bacapitaladvisors.com
Brown Gibbons Lang and Company,"Brown Gibbons Lang and Company, Investment Banking",
Bruderman Enterprises,"Bruderman Enterprises, Investment Banking, Private Equity",
Bruml Capital Corporation,"Bruml Capital Corporation, Investment Banking",
Bryan Garnier and Co,"Asset Management, Bryan Garnier and Co, Equity Research, Investment Banking, Private Equity, Sales and Trading, Venture Capital",
Bryant Park Capital,"Bryant Park Capital, Investment Banking",
BTG Pactual,"Asset Management, BTG Pactual, Investment Banking",
BTI Group,"BTI Group, Investment Banking",
Bulkley Capital,"Bulkley Capital, Investment Banking",
Bulltick Capital Markets,"Asset Management, Bulltick Capital Markets, Equity Research, Investment Banking, Sales and Trading",
Bundy Group,"Bundy Group, Investment Banking",
Burrill and Company,"Burrill and Company, Investment Banking, Private Equity, Venture Capital",
Bushkin Associates,"Bushkin Associates, Investment Banking",
Winston Advisors,"Investment Banking, Winston Advisors",
Acorn Ventures,"Acorn Ventures, Investment Banking, Venture Capital",
Aegis Capital,"Aegis Capital, Investment Banking, Venture Capital",
Carson Medlin Company,"Carson Medlin Company, Investment Banking",
Monticello Capital,"Investment Banking, Monticello Capital, Private Equity",smith@monticellocapital.com
Innovation Group,"Consulting, Innovation Group, Investment Banking, Other",
JSB-Partners,"Investment Banking, JSB-Partners",
Sousou Partners,"Accounting, Asset Management, Consulting, Hedge Funds, Investment Banking, Recruiting - Headhunter, Sousou Partners",
Catalyst Search Group,"Asset Management, Catalyst Search Group, Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter, Venture Capital",
Coleman and Company,"Asset Management, Coleman and Company, Hedge Funds, Investment Banking, Recruiting - Headhunter, Sales and Trading",
Comprehensive Recruiting,"Asset Management, Comprehensive Recruiting, Hedge Funds, Investment Banking, Recruiting - Headhunter, Sales and Trading",
Cornell Global,"Accounting, Asset Management, Cornell Global, Hedge Funds, Investment Banking, Private Equity, Venture Capital",
CPI,"Asset Management, Consulting, CPI, Investment Banking, Recruiting - Headhunter, Sales and Trading",
Criqui Borgersen,"Criqui Borgersen, Equity Research, Investment Banking, Recruiting - Headhunter, Sales and Trading",firstname@cbglobalsearch.com
Sawaya Segalas,"Investment Banking, Sawaya Segalas",firstname@sawayasegalas.com
Gridley and Company LLC,"Gridley and Company LLC, Investment Banking",john.smith@gridleyco.com
PNC Financial Services,"Asset Management, Investment Banking, PNC Financial Services, Private Equity, Other",firstname.lastname@pnc.com
Ernst & Young LLP,"Accounting, Corporate Finance, Ernst & Young LLP, Investment Banking",
Caldwell Partners International,"Caldwell Partners International, Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter",
David Reed and Associates,"Corporate Finance, David Reed and Associates, Investment Banking, Recruiting - Headhunter",
Delfino and Parker,"Delfino and Parker, Investment Banking, Recruiting - Headhunter, Other",firstname@delfinoparker.com
DHR International,"Asset Management, DHR International, Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter, Venture Capital",
Dynamics Associates,"Dynamics Associates, Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter, Venture Capital",
Association of Executive Search Consultants,"Accounting, Association of Executive Search Consultants, Corporate Finance, Investment Banking, Recruiting - Headhunter",
Exemplar Partners,"Asset Management, Exemplar Partners, Investment Banking, Recruiting - Headhunter",
First Associates,"Accounting, Asset Management, Corporate Finance, First Associates, Investment Banking, Recruiting - Headhunter",
Global Systems Staffing,"Asset Management, Corporate Finance, Equity Research, Global Systems Staffing, Investment Banking, Recruiting - Headhunter, Sales and Trading",
Glocap Search,"Asset Management, Consulting, Equity Research, Glocap Search, Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter, Venture Capital",
Grady Levkov and Company,"Asset Management, Consulting, Grady Levkov and Company, Hedge Funds, Investment Banking, Recruiting - Headhunter",
Huffman Associates,"Accounting, Corporate Finance, Huffman Associates, Investment Banking, Recruiting - Headhunter",
Westwood Partners,"Accounting, Asset Management, Corporate Finance, Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter, Sales and Trading, Westwood Partners",
Long Ridge Partners,"Asset Management, Corporate Finance, Equity Research, Hedge Funds, Investment Banking, Long Ridge Partners, Recruiting - Headhunter, Sales and Trading",
Desjardins,"Asset Management, Corporate Finance, Desjardins, Investment Banking, Venture Capital",
Innovations PSI,"Asset Management, Corporate Finance, Hedge Funds, Innovations PSI, Investment Banking, Private Equity, Recruiting - Headhunter, Venture Capital",
InSite Search,"Asset Management, Hedge Funds, InSite Search, Investment Banking, Recruiting - Headhunter, Sales and Trading",
Integrated Management Resources,"Asset Management, Hedge Funds, Integrated Management Resources, Investment Banking, Proprietary Trading, Recruiting - Headhunter, Sales and Trading",
International Market Recruiters,"Accounting, Asset Management, Consulting, Hedge Funds, International Market Recruiters, Investment Banking, Proprietary Trading, Recruiting - Headhunter, Sales and Trading",
Intuition Financial Placement,"Asset Management, Hedge Funds, Intuition Financial Placement, Investment Banking, Proprietary Trading, Recruiting - Headhunter, Sales and Trading",
Jamesbeck Global Partners,"Asset Management, Hedge Funds, Investment Banking, Jamesbeck Global Partners, Private Equity, Recruiting - Headhunter",
Jilson Advisors,"Hedge Funds, Investment Banking, Jilson Advisors, Private Equity, Proprietary Trading, Recruiting - Headhunter, Sales and Trading",
KornFerry International,"Asset Management, Consulting, Corporate Finance, Hedge Funds, Investment Banking, KornFerry International, Private Equity, Recruiting - Headhunter",
McIntyre Group,"Accounting, Corporate Finance, Investment Banking, McIntyre Group, Recruiting - Headhunter, Sales and Trading",
Mercury Partners,"Asset Management, Corporate Finance, Equity Research, Hedge Funds, Investment Banking, Mercury Partners, Private Equity, Proprietary Trading, Recruiting - Headhunter, Sales and Trading, Venture Capital",
Michael Page,"Accounting, Asset Management, Consulting, Corporate Finance, Equity Research, Hedge Funds, Investment Banking, Michael Page, Private Equity, Proprietary Trading, Recruiting - Headhunter, Sales and Trading, Venture Capital",city@michaelpage.com
Mission Staffing,"Accounting, Asset Management, Consulting, Equity Research, Hedge Funds, Investment Banking, Mission Staffing, Proprietary Trading, Recruiting - Headhunter, Sales and Trading",
Muse Network,"Asset Management, Corporate Finance, Equity Research, Hedge Funds, Investment Banking, Muse Network, Recruiting - Headhunter",
Euroconsult,"euroconsult, Investment Banking",Jsmith@euroconsult-inc.com
Open Systems Technologies,"Accounting, Asset Management, Corporate Finance, Hedge Funds, Investment Banking, Open Systems Technologies, Recruiting - Headhunter, Sales and Trading, Other",
Options Group,"Asset Management, Consulting, Hedge Funds, Investment Banking, Options Group, Private Equity, Recruiting - Headhunter",
Parks Legal Placement,"Hedge Funds, Investment Banking, Parks Legal Placement, Recruiting - Headhunter, Other",
Pinetum Partners,"Asset Management, Hedge Funds, Investment Banking, Pinetum Partners, Recruiting - Headhunter",
Pinnacle Group International,"Asset Management, Hedge Funds, Investment Banking, Pinnacle Group International, Private Equity, Recruiting - Headhunter, Venture Capital",
QuantRisk Recruiting,"Asset Management, Investment Banking, Proprietary Trading, QuantRisk Recruiting, Recruiting - Headhunter, Sales and Trading",
Ramax Search,"Accounting, Asset Management, Consulting, Corporate Finance, Hedge Funds, Investment Banking, Private Equity, Ramax Search, Recruiting - Headhunter, Other",
Response Companies,"Accounting, Asset Management, Consulting, Equity Research, Investment Banking, Proprietary Trading, Response Companies, Sales and Trading",
Risk Talent Associates,"Accounting, Asset Management, Consulting, Corporate Finance, Hedge Funds, Investment Banking, Recruiting - Headhunter, Risk Talent Associates",
Russell Reynolds Associates,"Asset Management, Consulting, Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter, Russell Reynolds Associates",
SkyWorks Capital,"Asset Management, Consulting, Corporate Finance, Investment Banking, SkyWorks Capital",j.smith@skyworkscapital.com
SG Partners,"Consulting, Hedge Funds, Investment Banking, Private Equity, Recruiting - Headhunter, SG Partners",
Sinon Group,"Accounting, Asset Management, Corporate Finance, Hedge Funds, Investment Banking, Recruiting - Headhunter, Sinon Group",
Spencer Stuart,"Accounting, Asset Management, Consulting, Corporate Finance, Investment Banking, Private Equity, Recruiting - Headhunter, Spencer Stuart, Venture Capital",
Steven Douglas Associates,"Accounting, Asset Management, Consulting, Corporate Finance, Investment Banking, Private Equity, Recruiting - Headhunter, Steven Douglas Associates",
Wall Street Options,"Asset Management, Consulting, Corporate Finance, Equity Research, Hedge Funds, Investment Banking, Private Equity, Proprietary Trading, Recruiting - Headhunter, Sales and Trading, Venture Capital, Wall Street Options, Other",
Foster McKay Group,"Accounting, Consulting, Corporate Finance, Foster McKay Group, Investment Banking, Recruiting - Headhunter",
Parker Clark Executive Recruitment,"Accounting, Asset Management, Corporate Finance, Hedge Funds, Investment Banking, Parker Clark Executive Recruitment, Recruiting - Headhunter",
Asia Capital Management Group,"Asia Capital Management Group, Asset Management, Investment Banking, Private Equity",
Achelous Partners,"Achelous Partners, Investment Banking",john.smith@achelous.com
M Partners,"Equity Research, Investment Banking, M Partners, Sales and Trading",
Prudential,"Consulting, Equity Research, Investment Banking, prudential, Other",
Kendrick Pierce and Co,"Investment Banking, Kendrick Pierce and Co",
Energy Capital Solutions,"Energy Capital Solutions, Investment Banking",jsmith@nrgcap.com
Southwest Securities,"Asset Management, Investment Banking, Southwest Securities",
National Bank Financial Group,"Corporate Finance, Equity Research, Investment Banking, National Bank Financial Group, Sales and Trading",john.smith@nbc.ca
Global Gaming & Hospitality,"Global Gaming & Hospitality, Investment Banking",
Fifth Third Bank,"Equity Research, Fifth Third Bank, Investment Banking, Sales and Trading",jsmith @53.com
Seaport Group,"Investment Banking, Sales and Trading, Seaport Group",jsmith@theseaportgroup.com
Mizuho,"Asset Management, Consulting, Equity Research, Investment Banking, Mizuho, Sales and Trading, Venture Capital",
Andrews Securities,"Andrews Securities, Investment Banking",
Mackie Research Capital Corporation,"Asset Management, Equity Research, Investment Banking, Mackie Research Capital Corporation, Sales and Trading",jsmith@mackieresearch.com
Banco Bilbao Vizcaya Argentaria,"Banco Bilbao Vizcaya Argentaria, Equity Research, Investment Banking, Sales and Trading",smith@bbvafrances.com.ar
CoBiz Financial,"Asset Management, CoBiz Financial, Corporate Finance, Investment Banking",
Dailey Partners,"Dailey Partners, Investment Banking",
DH Capital,"DH Capital, Investment Banking",jsmith@dhcapital.com
Fortitude MB,"Fortitude MB, Investment Banking",
Franklin Court Partners,"Franklin Court Partners, Investment Banking",
Fritsche Capital Group,"Fritsche Capital Group, Investment Banking",
GVC Capital,"GVC Capital, Investment Banking",
Octagon Capital,"Hedge Funds, Investment Banking, Octagon Capital",jds@octagoncapital.com.sg
Janco Partners,"Equity Research, Investment Banking, Janco Partners, Sales and Trading",
Karutz Flavin Wells Investment Bankers,"Investment Banking, Karutz Flavin Wells Investment Bankers",
ICON Investments,"Asset Management, ICON Investments, Investment Banking",
Fieldstone Private Capital Group,"Fieldstone Private Capital Group, Investment Banking",JohnS@fpcg.com or JDoe@fpcg.com
Caixa-Banco de Investimento SA,"Caixa-Banco de Investimento SA, Corporate Finance, Equity Research, Investment Banking, Private Equity, Sales and Trading",john.smith@caixabi.pt
Paladin Capital LLC,"Investment Banking, Paladin Capital LLC",
Pandion Partners,"Investment Banking, Pandion Partners",
Pintoresco Advisors,"Consulting, Investment Banking, Pintoresco Advisors",
Plexus Associates,"Investment Banking, Plexus Associates",
CGI Merchant Group,"Asset Management, CGI Merchant Group, Investment Banking",jsmith@cgimg.com
Ponder & Co,"Investment Banking, Ponder & Co",jsmith@ponderco.com
Stern Brothers & Co,"Investment Banking, Stern Brothers & Co",jsmith@sternbrothers.com
Spencer Edwards,"Investment Banking, Spencer Edwards",
UNIFI Capital Partners,"Investment Banking, UNIFI Capital Partners",
Oliver Investment Banking,"Consulting, Investment Banking, Oliver Investment Banking",
Aspenwood Capital,"Aspenwood Capital, Investment Banking",
Bank of the West,"Asset Management, Bank of the West, Investment Banking",
First National Capital Markets,"First National Capital Markets, Investment Banking",
Silverwood Partners,"Investment Banking, Silverwood Partners",
Arcano Group,"Arcano Group, Asset Management, Investment Banking",
Compass Point Research and Trading,"Compass Point Research and Trading, Equity Research, Investment Banking, Sales and Trading",
MD Global Partners,"Investment Banking, MD Global Partners",firstinitiallastname@maydavis.com
Scotiabank,"Asset Management, Equity Research, Investment Banking, Sales and Trading, Scotiabank",
Petsky Prunier,"Investment Banking, petsky prunier",
Loop Capital Markets,"Investment Banking, Loop Capital Markets",
WM Sword and Company,"Investment Banking, WM Sword and Company",
Midtown Partners,"Investment Banking, Midtown Partners",
Oberon Securities,"Investment Banking, Oberon Securities",
